id,penalty,l1_ratio,alpha,max_iter,random_state,n_jobs,n_samples,n_features,n_classes,n_clusters_per_class,n_informative,flip_y,scale,time
0,none,0.3040826375906649,0.0001,417,475,-1,1089,327,4,3,7,0.07479794945725239,24.24200892577237,0.409987211227417
1,l1,0.7277441802627995,0.001,578,569,1,790,373,4,5,7,0.07778086970406906,54.626301950189344,3.9509527683258057
2,none,0.745885421981778,0.01,588,529,2,428,1198,2,5,6,0.030196244071848,17.999964008578203,0.3687019348144531
3,none,0.47460508154356074,0.001,829,103,4,877,313,6,5,7,0.05726111196739875,82.25722236611178,1.00455904006958
4,elasticnet,0.39504943688096783,0.001,167,418,2,216,644,8,5,11,0.07372770053649044,95.51560075757996,0.802800178527832
5,l1,0.3588374957904995,0.001,986,94,4,1396,861,4,2,6,0.09748338067033964,31.973446813472975,7.9161131381988525
6,none,0.7585653839942273,0.0001,929,532,2,908,691,5,2,6,0.09532428303952556,98.2383666714948,2.206062078475952
7,l1,0.28284061070548894,0.0001,422,143,8,677,737,9,5,8,0.04046325489481176,54.62820555371398,2.4071426391601562
8,l1,0.7661758876856857,0.01,308,85,8,498,1191,2,4,9,0.0256387618132787,54.16634644558742,1.0023410320281982
9,l2,0.2490184932637317,0.001,510,574,8,1380,803,9,5,10,0.024620434819469406,75.04805403825827,1.6071443557739258
10,none,0.8680995692048329,0.0001,479,535,8,1178,1047,7,4,8,0.017704942428251415,73.65881618233341,0.9056992530822754
11,l2,0.5742061293137437,0.0001,259,960,2,860,639,10,2,11,0.03616481495832862,82.90484142005124,1.0038418769836426
12,elasticnet,0.42195609141377366,0.001,618,460,4,628,195,3,5,9,0.077583934574177,12.870010336320872,0.8033866882324219
13,l2,0.4984612123067702,0.01,668,503,8,500,1370,9,4,8,0.08575708243973679,47.61937705868872,1.2073915004730225
14,l2,0.6587242099913071,0.0001,386,66,2,907,1090,5,3,9,0.0876985114764327,43.70476987818604,1.5073115825653076
15,none,0.19389172529918391,0.0001,103,288,2,111,573,3,3,8,0.005868679446968262,23.33802954308096,0.10173439979553223
16,none,0.7960227679052791,0.01,691,947,1,484,1276,3,5,7,0.08791140299792735,86.08049311747857,1.5640795230865479
17,elasticnet,0.6317504304161463,0.01,719,259,2,103,209,9,3,9,0.05438506551653896,76.88807496251782,0.6033122539520264
18,elasticnet,0.43155858753255794,0.001,265,895,4,646,1001,3,5,7,0.025358379135817777,53.09529102472871,1.4056007862091064
19,elasticnet,0.7345661136846621,0.0001,365,736,2,1251,877,4,4,11,0.043639043188316434,89.98466958507775,6.0138421058654785
20,none,0.7285332615700323,0.001,213,101,4,222,128,6,4,8,0.0008417235153927449,20.919170879282614,0.10415363311767578
21,elasticnet,0.6600388540049907,0.001,280,443,8,336,646,3,5,6,0.06647163809040217,17.711963200158443,0.5041308403015137
22,none,0.677498027639295,0.0001,213,445,2,859,562,8,2,9,0.03103868562128055,43.45140268945576,0.6031734943389893
